"","condicao","X","ID","stType","boostId","time.s.","startTime","endTime","points","subDate.resp","TCLE","dfs.i10","dfs.i20","dfs.i4","dfs.i21","dfs.i32","dfs.i24","dfs.i7","dfs.i17","dfs.i36","pre.c1","pre.c2","pre.c3","pre.c4","pre.c5","pre.c6","subDate.pos","fss.i4","fss.i7","fss.i10","fss.i11","fss.i17","fss.i21","fss.i24","fss.i27","fss.i32","pos.c1","pos.c2","pos.c3","pos.c4","pos.c5","pos.c6","etnia","gender","economic.class","city","edLevel","inBoost","inThreat","notInTreatAndNotInBoost","dfs","fss","autoeficacia.pre","autoeficacia.pos"
"1","inBoost",1,"p01","stMale","male4stem",284.845,1620148152461,1620148437306,12,"2021-05-04 14:01:07","Aceito",4,4,4,4,3,4,3,4,3,8,8,8,8,7,7,"2021-05-04 14:17:47",5,5,3,5,1,3,3,3,3,8,8,8,8,4,3,"Branco","Masculino","Classe Baixa","carpi","1º ano - Ensino Médio Técnico",TRUE,FALSE,FALSE,3.66666666666667,3.44444444444444,7.66666666666667,6.5
"2","inBoost",2,"p02","stMale","male4stem",284.845,1620148152461,1620148437306,12,"2021-05-04 14:01:07","Aceito",4,4,4,4,3,4,3,4,3,8,8,8,8,7,7,"2021-05-04 14:25:46",5,5,3,3,1,3,5,3,3,8,8,8,8,4,3,"Branco","Masculino","Classe Baixa","Carpi","1º ano - Ensino Médio Técnico",TRUE,FALSE,FALSE,3.66666666666667,3.44444444444444,7.66666666666667,6.5
"3","inBoost",3,"p03","stMale","male4stem",284.845,1620148152461,1620148437306,12,"2021-05-04 14:09:02","Aceito",4,4,3,4,3,4,3,4,3,8,8,8,8,6,6,"2021-05-04 14:17:47",5,5,3,5,1,3,3,3,3,8,8,8,8,4,3,"Branco","Masculino","Classe Baixa","carpi","1º ano - Ensino Médio Técnico",TRUE,FALSE,FALSE,3.55555555555556,3.44444444444444,7.33333333333333,6.5
"4","inBoost",4,"p04","stMale","male4stem",284.845,1620148152461,1620148437306,12,"2021-05-04 14:09:02","Aceito",4,4,3,4,3,4,3,4,3,8,8,8,8,6,6,"2021-05-04 14:25:46",5,5,3,3,1,3,5,3,3,8,8,8,8,4,3,"Branco","Masculino","Classe Baixa","Carpi","1º ano - Ensino Médio Técnico",TRUE,FALSE,FALSE,3.55555555555556,3.44444444444444,7.33333333333333,6.5
"5","inBoost",9,"p09","stMale","male4stem",284.845,1620148152461,1620148437306,12,"2021-05-04 14:21:36","Aceito",4,4,3,4,3,4,3,4,4,8,8,8,6,6,5,"2021-05-04 14:17:47",5,5,3,5,1,3,3,3,3,8,8,8,8,4,3,"Branco","Masculino","Classe Baixa","carpi","1º ano - Ensino Médio Técnico",TRUE,FALSE,FALSE,3.66666666666667,3.44444444444444,6.83333333333333,6.5
"6","inBoost",10,"p10","stMale","male4stem",284.845,1620148152461,1620148437306,12,"2021-05-04 14:21:36","Aceito",4,4,3,4,3,4,3,4,4,8,8,8,6,6,5,"2021-05-04 14:25:46",5,5,3,3,1,3,5,3,3,8,8,8,8,4,3,"Branco","Masculino","Classe Baixa","Carpi","1º ano - Ensino Médio Técnico",TRUE,FALSE,FALSE,3.66666666666667,3.44444444444444,6.83333333333333,6.5
"8","inBoost",19,"p19","stMale","male4enem",283.557,1619809448424,1619809731981,14,"2021-04-30 16:04:07","Aceito",5,3,3,4,4,5,5,5,5,8,8,8,6,8,6,"2021-04-30 16:18:35",5,5,5,5,5,5,5,5,5,8,8,8,8,8,8,"Pardo","Masculino","Classe Média","Araçoiaba","2º ano - Ensino Médio Técnico",TRUE,FALSE,FALSE,4.33333333333333,4.88333333333333,7.33333333333333,8
"9","inBoost",22,"p22","stFemale","female4math",190.557,1619811081811,1619811272368,11,"2021-04-30 16:31:19","Aceito",4,4,5,5,5,5,4,5,4,8,8,8,8,5,5,"2021-04-30 16:37:49",5,4,3,4,2,4,5,3,5,6,7,6,3,3,4,"Pardo","Feminino","Classe Média","Araçoiaba","1º ano - Ensino Médio Técnico",TRUE,FALSE,FALSE,4.55555555555556,3.88888888888889,7,4.83333333333333
"10","inBoost",24,"p24","stFemale","female4trigemeas",372.012,1619802991593,1619803363605,15,"2021-04-30 14:16:20","Aceito",2,1,1,3,3,2,3,4,3,8,8,8,8,8,8,"2021-04-30 14:27:02",5,1,2,3,4,5,3,2,5,8,8,7,8,1,6,"Branco","Feminino","Classe Média","Lagoa do Carro","3º ano - Ensino Médio Técnico",TRUE,FALSE,FALSE,2.77777777777778,3.33333333333333,8,6.33333333333333
"11","inBoost",27,"p27","stMale","male4stem",110.507,1620146837215,1620146947722,4,"2021-05-04 13:49:10","Aceito",5,1,5,5,5,5,5,5,5,8,8,1,8,8,1,"2021-05-04 13:52:55",1,5,5,5,5,5,1,5,5,6,6,5,6,7,5,"Pardo","Masculino","Classe Baixa","Araçoiaba","1º ano - Ensino Médio Técnico",TRUE,FALSE,FALSE,4.55555555555556,4.11111111111111,5.66666666666667,5.83333333333333
