"","ID","stType","boostId","time.s.","startTime","endTime","points","subDate.resp","TCLE","dfs.i10","dfs.i20","dfs.i4","dfs.i21","dfs.i32","dfs.i24","dfs.i7","dfs.i17","dfs.i36","pre.c1","pre.c2","pre.c3","pre.c4","pre.c5","pre.c6","subDate.pos","fss.i4","fss.i7","fss.i10","fss.i11","fss.i17","fss.i21","fss.i24","fss.i27","fss.i32","pos.c1","pos.c2","pos.c3","pos.c4","pos.c5","pos.c6","etnia","gender","economic.class","city","edLevel","inBoost","inThreat","notInTreatAndNotInBoost","condicao","dfs","fss","autoeficacia.pre","autoeficacia.pos"
"1","p01","stMale","male4stem",284.845,1620148152461,1620148437306,12,"5/4/21 14:01","Aceito",4,4,4,4,3,4,3,4,3,8,8,8,8,7,7,"5/4/21 14:17",5,5,3,5,1,3,3,3,3,8,8,8,8,4,3,"Branco","Masculino","Classe Baixa","carpi","1º ano - Ensino Médio Técnico",TRUE,FALSE,FALSE,"inBoost",3.666666667,3.444444444,7.666666667,6.5
"2","p02","stMale","male4stem",284.845,1620148152461,1620148437306,12,"5/4/21 14:01","Aceito",4,4,4,4,3,4,3,4,3,8,8,8,8,7,7,"5/4/21 14:25",5,5,3,3,1,3,5,3,3,8,8,8,8,4,3,"Branco","Masculino","Classe Baixa","Carpi","1º ano - Ensino Médio Técnico",TRUE,FALSE,FALSE,"inBoost",3.666666667,3.444444444,7.666666667,6.5
"3","p03","stMale","male4stem",284.845,1620148152461,1620148437306,12,"5/4/21 14:09","Aceito",4,4,3,4,3,4,3,4,3,8,8,8,8,6,6,"5/4/21 14:17",5,5,3,5,1,3,3,3,3,8,8,8,8,4,3,"Branco","Masculino","Classe Baixa","carpi","1º ano - Ensino Médio Técnico",TRUE,FALSE,FALSE,"inBoost",3.555555556,3.444444444,7.333333333,6.5
"4","p04","stMale","male4stem",284.845,1620148152461,1620148437306,12,"5/4/21 14:09","Aceito",4,4,3,4,3,4,3,4,3,8,8,8,8,6,6,"5/4/21 14:25",5,5,3,3,1,3,5,3,3,8,8,8,8,4,3,"Branco","Masculino","Classe Baixa","Carpi","1º ano - Ensino Médio Técnico",TRUE,FALSE,FALSE,"inBoost",3.555555556,3.444444444,7.333333333,6.5
"5","p05","stFemale","female4math",171.267,1620148877169,1620149048436,13,"5/4/21 14:09","Aceito",4,4,3,4,3,4,3,4,3,8,8,8,8,6,6,"5/4/21 14:17",5,5,3,5,1,3,3,3,3,8,8,8,8,4,3,"Branco","Masculino","Classe Baixa","carpi","1º ano - Ensino Médio Técnico",FALSE,TRUE,FALSE,"inThreat",3.555555556,3.444444444,7.333333333,6.5
"6","p06","stFemale","female4math",171.267,1620148877169,1620149048436,13,"5/4/21 14:09","Aceito",4,4,3,4,3,4,3,4,3,8,8,8,8,6,6,"5/4/21 14:25",5,5,3,3,1,3,5,3,3,8,8,8,8,4,3,"Branco","Masculino","Classe Baixa","Carpi","1º ano - Ensino Médio Técnico",FALSE,TRUE,FALSE,"inThreat",3.555555556,3.444444444,7.333333333,6.5
"7","p07","stFemale","female4math",171.267,1620148877169,1620149048436,13,"5/4/21 14:01","Aceito",4,4,4,4,3,4,3,4,3,8,8,8,8,7,7,"5/4/21 14:17",5,5,3,5,1,3,3,3,3,8,8,8,8,4,3,"Branco","Masculino","Classe Baixa","carpi","1º ano - Ensino Médio Técnico",FALSE,TRUE,FALSE,"inThreat",3.666666667,3.444444444,7.666666667,6.5
"8","p08","stFemale","female4math",171.267,1620148877169,1620149048436,13,"5/4/21 14:01","Aceito",4,4,4,4,3,4,3,4,3,8,8,8,8,7,7,"5/4/21 14:25",5,5,3,3,1,3,5,3,3,8,8,8,8,4,3,"Branco","Masculino","Classe Baixa","Carpi","1º ano - Ensino Médio Técnico",FALSE,TRUE,FALSE,"inThreat",3.666666667,3.444444444,7.666666667,6.5
"9","p09","stMale","male4stem",284.845,1620148152461,1620148437306,12,"5/4/21 14:21","Aceito",4,4,3,4,3,4,3,4,4,8,8,8,6,6,5,"5/4/21 14:17",5,5,3,5,1,3,3,3,3,8,8,8,8,4,3,"Branco","Masculino","Classe Baixa","carpi","1º ano - Ensino Médio Técnico",TRUE,FALSE,FALSE,"inBoost",3.666666667,3.444444444,6.833333333,6.5
"10","p10","stMale","male4stem",284.845,1620148152461,1620148437306,12,"5/4/21 14:21","Aceito",4,4,3,4,3,4,3,4,4,8,8,8,6,6,5,"5/4/21 14:25",5,5,3,3,1,3,5,3,3,8,8,8,8,4,3,"Branco","Masculino","Classe Baixa","Carpi","1º ano - Ensino Médio Técnico",TRUE,FALSE,FALSE,"inBoost",3.666666667,3.444444444,6.833333333,6.5
"11","p11","stFemale","female4math",171.267,1620148877169,1620149048436,13,"5/4/21 14:21","Aceito",4,4,3,4,3,4,3,4,4,8,8,8,6,6,5,"5/4/21 14:17",5,5,3,5,1,3,3,3,3,8,8,8,8,4,3,"Branco","Masculino","Classe Baixa","carpi","1º ano - Ensino Médio Técnico",FALSE,TRUE,FALSE,"inThreat",3.666666667,3.444444444,6.833333333,6.5
"12","p12","stFemale","female4math",171.267,1620148877169,1620149048436,13,"5/4/21 14:21","Aceito",4,4,3,4,3,4,3,4,4,8,8,8,6,6,5,"5/4/21 14:25",5,5,3,3,1,3,5,3,3,8,8,8,8,4,3,"Branco","Masculino","Classe Baixa","Carpi","1º ano - Ensino Médio Técnico",FALSE,TRUE,FALSE,"inThreat",3.666666667,3.444444444,6.833333333,6.5
"13","p13","stMale","male4enem",81.527,1619803138112,1619803219639,4,"4/30/21 14:18","Aceito",4,3,2,4,3,3,2,4,4,7,8,8,7,8,7,"4/30/21 14:22",3,4,3,3,2,3,4,2,3,8,7,6,8,7,7,"Pardo","Masculino","Classe Média","Carpi permbuco","3º ano - Ensino Médio Técnico",TRUE,FALSE,FALSE,"inBoost",3.222222222,3,7.5,7.166666667
"14","p14","default","",27.094,1620126554844,1620126581938,1,"5/4/21 8:09","Aceito",3,2,4,2,4,2,4,3,2,7,3,5,6,6,6,"5/4/21 8:10",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,"Negro","Feminino","Classe Média","","2º ano - Ensino Médio Técnico",FALSE,FALSE,TRUE,"neutro",2.888888889,4,5.5,4
"15","p15","stFemale","female4trigemeas",458.785,1620149636907,1620150095692,14,"5/4/21 14:32","Aceito",5,4,4,4,4,4,3,3,5,8,8,8,8,8,3,"5/4/21 14:44",4,2,4,3,3,5,4,4,5,8,8,7,4,3,3,"Negro","Masculino","Classe Baixa","zaré da Mata","2º ano - Ensino Médio Técnico",FALSE,TRUE,FALSE,"inThreat",4,3.777777778,7.166666667,5.5
