"","stType","gender","X","ID","boostId","time.s.","startTime","endTime","points","subDate.resp","TCLE","dfs.i10","dfs.i20","dfs.i4","dfs.i21","dfs.i32","dfs.i24","dfs.i7","dfs.i17","dfs.i36","pre.c1","pre.c2","pre.c3","pre.c4","pre.c5","pre.c6","subDate.pos","fss.i4","fss.i7","fss.i10","fss.i11","fss.i17","fss.i21","fss.i24","fss.i27","fss.i32","pos.c1","pos.c2","pos.c3","pos.c4","pos.c5","pos.c6","etnia","economic.class","city","edLevel","inBoost","inThreat","notInTreatAndNotInBoost","condicao","dfs","fss","autoeficacia.pre","autoeficacia.pos"
"1","default","Feminino",14,"p14","",27.094,1620126554844,1620126581938,1,"5/4/21 8:09","Aceito",3,2,4,2,4,2,4,3,2,7,3,5,6,6,6,"5/4/21 8:10",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,"Negro","Classe Média","","2º ano - Ensino Médio Técnico",FALSE,FALSE,TRUE,"neutro",2.888888889,4,5.5,4
"2","default","Feminino",35,"p35","",265.217,1620151495115,1620151760332,14,"5/4/21 15:04","Aceito",3,3,3,5,4,3,2,2,3,8,8,8,8,8,7,"5/4/21 15:13",5,5,4,4,3,5,4,2,2,8,5,6,8,4,4,"Pardo","Classe Média","Carpi","2º ano - Ensino Médio Técnico",FALSE,FALSE,TRUE,"neutro",3.111111111,3.777777778,7.833333333,5.833333333
"3","default","Feminino",43,"p43","",278.712,1620227798912,1620228077624,16,"5/5/21 12:16","Aceito",3,4,4,5,4,4,5,4,5,8,8,8,8,8,8,"5/5/21 12:25",5,5,5,5,5,5,5,5,5,8,8,8,8,8,8,"Negro","Classe Média","Araçoiaba- PE","3º ano - Ensino Médio Técnico",FALSE,FALSE,TRUE,"neutro",4.222222222,4.653888889235,8,8
"4","default","Feminino",52,"p52","",147.414,1619836949913,1619837097327,11,"4/30/21 23:42","Aceito",2,1,3,5,5,4,1,5,5,2,4,7,8,6,6,"4/30/21 23:47",3,5,3,4,1,5,5,5,5,3,4,3,7,8,7,"Pardo","Classe Baixa","Carpi - Permbuco","3º ano - Ensino Médio Técnico",FALSE,FALSE,TRUE,"neutro",3.444444444,4,5.5,5.333333333
"5","default","Feminino",56,"p56","",103.844,1619715425174,1619715529018,4,"4/29/21 13:57","Aceito",3,3,3,4,4,4,4,4,3,5,5,5,5,5,5,"4/29/21 14:29",4,5,3,3,3,3,4,3,4,5,7,7,6,5,6,"Pardo","Classe Média","Paudalho","1º ano - Ensino Médio Técnico",FALSE,FALSE,TRUE,"neutro",3.555555556,3.555555556,5,6
"6","default","Feminino",61,"p61","",177.307,1619716986493,1619717163800,6,"4/29/21 14:23","Aceito",3,2,2,3,3,2,1,5,5,4,5,5,6,7,8,"4/29/21 14:32",4,2,3,2,2,4,3,2,4,6,1,5,7,4,3,"Pardo","Classe Média","paudalho","1º ano - Ensino Médio Técnico",FALSE,FALSE,TRUE,"neutro",2.888888889,2.888888889,5.833333333,4.333333333
"7","default","Feminino",75,"p75","",283.066,1619803898938,1619804182004,12,"4/30/21 14:31","Aceito",5,3,4,5,5,5,3,3,5,7,7,7,5,5,5,"4/30/21 14:42",4,3,4,4,1,5,5,4,5,8,8,7,8,5,6,"Pardo","Classe Média","Carpi- PE","2º ano - Ensino Médio Técnico",FALSE,FALSE,TRUE,"neutro",4.222222222,3.888888889,6,7
"8","default","Feminino",81,"p81","",394.778,1619809400798,1619809795576,16,"4/30/21 16:05","Aceito",5,2,3,4,4,3,1,5,5,8,8,8,7,7,8,"4/30/21 16:17",4,2,5,5,3,5,4,3,5,8,8,8,8,8,8,"Branco","Classe Média","Tracunhaém","2º ano - Ensino Médio Técnico",FALSE,FALSE,TRUE,"neutro",3.555555556,4,7.666666667,8
"9","default","Feminino",82,"p82","",394.778,1619809400798,1619809795576,16,"4/30/21 16:04","Aceito",5,2,3,4,4,3,1,5,5,8,8,8,7,7,8,"4/30/21 16:17",4,2,5,5,3,5,4,3,5,8,8,8,8,8,8,"Branco","Classe Média","Tracunhaém","2º ano - Ensino Médio Técnico",FALSE,FALSE,TRUE,"neutro",3.555555556,4,7.666666667,8
"10","default","Feminino",99,"p99","",220.268,1620146789742,1620147010010,12,"5/4/21 13:46","Aceito",3,4,5,4,4,5,4,5,3,8,8,8,7,8,7,"5/4/21 13:53",4,4,2,2,5,3,4,4,5,7,8,5,6,1,4,"Pardo","Classe Média","carpi","1º ano - Ensino Médio Técnico",FALSE,FALSE,TRUE,"neutro",4.111111111,3.666666667,7.666666667,5.166666667
"11","default","Feminino",118,"p118","",167.508,1620148131646,1620148299154,10,"5/4/21 14:08","Aceito",3,3,4,4,4,3,4,3,4,5,5,6,6,5,5,"5/4/21 14:15",3,4,4,3,2,4,5,5,4,8,5,6,5,5,7,"Branco","Classe Média","araçoiaba","1º ano - Ensino Médio Técnico",FALSE,FALSE,TRUE,"neutro",3.555555556,3.777777778,5.333333333,6
"12","default","Feminino",127,"p127","",108.346,1620146742077,1620146850423,4,"5/4/21 13:45","Aceito",4,5,5,5,5,3,5,5,5,8,8,8,8,8,8,"5/4/21 13:48",5,5,4,5,5,5,3,2,4,5,3,4,3,3,2,"Pardo","Classe Baixa","Lagoa de itaenga","1º ano - Ensino Médio Técnico",FALSE,FALSE,TRUE,"neutro",4.3555555555,4.222222222,8,3.333333333
"13","default","Feminino",128,"p128","",275.79,1620149737892,1620150013682,12,"5/4/21 14:35","Aceito",3,4,4,2,4,2,4,3,5,8,8,8,7,8,8,"5/4/21 14:43",4,5,3,3,2,5,4,4,5,8,7,7,7,4,7,"Branco","Classe Baixa","","2º ano - Ensino Médio Técnico",FALSE,FALSE,TRUE,"neutro",3.444444444,3.888888889,7.833333333,6.666666667
"14","default","Feminino",129,"p129","",182.952,1620146970014,1620147152966,3,"5/4/21 13:49","Aceito",4,3,3,4,4,4,3,4,3,6,6,5,5,6,6,"5/4/21 13:58",3,3,2,1,1,2,2,1,1,6,6,7,7,3,6,"Branco","Classe Baixa","Carpi","1º ano - Ensino Médio Técnico",FALSE,FALSE,TRUE,"neutro",3.555555556,2.888888889,5.666666667,5.833333333
"15","default","Feminino",140,"p140","",151.939,1619715758593,1619715910532,2,"4/29/21 14:02","Aceito",1,1,1,5,5,5,5,5,1,1,1,8,1,1,1,"4/29/21 14:08",5,5,1,5,5,5,5,5,5,1,1,1,1,1,1,"Pardo","Classe Baixa","Paudalho, próx a entrada da usi","1º ano - Ensino Médio Técnico",FALSE,FALSE,TRUE,"neutro",3.222222222,4.555555556,2.166666667,1
"16","default","Masculino",17,"p17","",290.597,1620149496614,1620149787211,12,"5/4/21 14:31","Aceito",5,5,5,4,4,5,5,3,5,8,8,8,8,8,8,"5/4/21 14:38",3,5,4,3,3,4,4,4,4,8,8,8,3,1,1,"Negro","Classe Média","Carpi PE","2º ano - Ensino Médio Técnico",FALSE,FALSE,TRUE,"neutro",4.5444444448,3.777777778,8,4.833333333
"17","default","Masculino",18,"p18","",169.277,1619809804544,1619809973821,15,"4/30/21 16:04","Aceito",5,3,3,4,4,5,5,5,5,8,8,8,6,8,6,"4/30/21 16:18",5,5,5,5,5,5,5,5,5,8,8,8,8,8,8,"Pardo","Classe Média","Araçoiaba","2º ano - Ensino Médio Técnico",FALSE,FALSE,TRUE,"neutro",4.333333333,4.7222222224,7.333333333,8
"18","default","Masculino",21,"p21","",287.373,1620147109280,1620147396653,11,"5/4/21 13:51","Aceito",3,4,3,5,4,4,1,4,5,8,8,8,7,7,4,"5/4/21 13:59",2,5,4,5,5,4,5,3,4,8,3,2,8,1,8,"Amarelo","Classe Baixa","lagoa do itaenga","1º ano - Ensino Médio Técnico",FALSE,FALSE,TRUE,"neutro",3.666666667,4.111111111,7,5
"19","default","Masculino",25,"p25","",314.21,1619802968480,1619803282690,13,"4/30/21 14:16","Aceito",4,2,4,5,4,4,3,3,4,6,6,8,8,8,8,"4/30/21 14:22",4,4,4,3,5,3,5,4,5,7,7,8,5,8,6,"Pardo","Classe Média","Carpi PE","3º ano - Ensino Médio Técnico",FALSE,FALSE,TRUE,"neutro",3.666666667,4.111111111,7.333333333,6.833333333
"20","default","Masculino",26,"p26","",314.21,1619802968480,1619803282690,13,"4/30/21 14:15","Aceito",4,2,4,5,4,4,3,3,4,6,6,8,8,8,8,"4/30/21 14:22",4,4,4,3,5,3,5,4,5,7,7,8,5,8,6,"Pardo","Classe Média","Carpi PE","3º ano - Ensino Médio Técnico",FALSE,FALSE,TRUE,"neutro",3.666666667,4.111111111,7.333333333,6.833333333
"21","default","Masculino",39,"p39","",358.679,1620157612216,1620157970895,11,"5/4/21 16:47","Aceito",3,1,4,4,5,4,1,3,4,8,8,8,8,6,7,"5/4/21 16:57",4,5,4,3,3,4,5,4,5,8,7,6,7,6,6,"Pardo","Classe Média","Lagoa de Itaenga","2º ano - Ensino Médio Técnico",FALSE,FALSE,TRUE,"neutro",3.222222222,4.111111111,7.5,6.666666667
"22","default","Masculino",41,"p41","",272.729,1620146891206,1620147163935,15,"5/4/21 13:48","Aceito",3,2,3,4,4,3,2,3,5,8,8,8,8,5,7,"5/4/21 13:57",4,2,3,2,3,3,3,3,4,8,8,7,7,5,6,"Negro","Classe Média","Carpi","1º ano - Ensino Médio Técnico",FALSE,FALSE,TRUE,"neutro",3.222222222,3.0111111111,7.333333333,6.833333333
"23","default","Masculino",51,"p51","",351.77,1619716644364,1619716996134,11,"4/29/21 14:15","Aceito",3,2,4,5,3,4,3,2,5,4,3,2,1,1,4,"4/29/21 14:26",4,4,3,2,2,3,3,3,4,5,3,3,4,3,3,"Pardo","Classe Média","Paudalho - Permbuco","1º ano - Ensino Médio Técnico",FALSE,FALSE,TRUE,"neutro",3.444444444,3.111111111,2.5,3.5
"24","default","Masculino",60,"p60","",214.881,1619715426212,1619715641093,13,"4/29/21 13:57","Aceito",1,2,1,3,3,3,1,5,1,8,8,8,8,7,6,"4/29/21 14:02",1,5,5,3,3,3,1,1,1,8,4,6,5,5,1,"Branco","Classe Média","Paudalho","1º ano - Ensino Médio Técnico",FALSE,FALSE,TRUE,"neutro",2.5222222218,3.0111111111,7.5,4.833333333
"25","default","Masculino",72,"p72","",360.825,1619714802555,1619715163380,14,"4/29/21 13:41","Aceito",5,4,4,3,5,5,1,5,5,8,8,8,8,8,8,"4/29/21 14:02",5,5,3,5,3,5,5,4,2,8,8,8,8,7,8,"Branco","Classe Média","JARDIM BRASIL oLINDA","2º ano - Ensino Médio Técnico",FALSE,FALSE,TRUE,"neutro",4.111111111,4.111111111,8,7.833333333
"26","default","Masculino",77,"p77","",388.422,1619829720506,1619830108928,14,"4/30/21 21:41","Aceito",5,5,5,5,5,5,5,5,5,8,8,8,8,8,8,"4/30/21 21:53",5,5,5,4,4,5,5,5,5,8,8,8,8,8,8,"Amarelo","Classe Média","Carpi","3º ano - Ensino Médio Técnico",FALSE,FALSE,TRUE,"neutro",4.5444444448,4.7222222224,8,8
